RBP	SRA	TxCount	RNAse	Reads	T2Cfraction	RedundantSeqFraction	RedundantCopyFraction	UniqueReads	ConversionSpecificity	QC	Name
AGO1	SRR048973	2139	T1	197925	0.844036436294408	0.565867340474655	0.772040432012848	8.08983940213071	0.826892509738488	pass	AGO1_SRR048973
AGO1	SRR650318	5711	T1	1527733	0.859563535314917	0.390683071712994	0.590553420646709	11.2259201926385	0.874350849024704	pass	AGO1_SRR650318
AGO1	SRR650319	537	T1	101295	0.707404820879092	0.381876003545801	0.63303341467023	18.5308964316797	0.648765445100476	pass	AGO1_SRR650319
AGO1	SRR650320	2693	T1	355109	0.820997285905849	0.401872224362199	0.621303609295155	10.6878500400046	0.814538731463231	pass	AGO1_SRR650320
AGO2	SRR189784	5649	T1	1462600	0.879108988335258	0.354972023178918	0.578734191932457	13.9767541552191	0.922704518821992	pass	AGO2_SRR189784
AGO2	SRR189785	2557	T1	367967	0.682877422166526	0.364345096720231	0.637360565666183	14.0774711946634	0.647825994640005	pass	AGO2_SRR189785
AGO2	SRR650321	1561	T1	231671	0.814138990309092	0.844073629199917	0.966263514146882	10.9983440662374	1.04993958380457	pass	AGO2_SRR650321
AGO3	SRR048976	3158	T1	336357	0.867776170419872	0.457140821703378	0.692517002297839	9.31835013371734	0.894591626784436	pass	AGO3_SRR048976
AGO4	SRR048979	184	T1	68861	0.480166411414134	0.562413025425204	0.831348611070192	33.9339130434783	0.244425019177205	pass	AGO4_SRR048979
ALKBH5	SRR500478	59	T1	45160	0.498292273570386	0.546306809159573	0.82437345062277	24.0580204778157	0.278640498541587	pass	ALKBH5_SRR500478
ALKBH5	SRR500479	720	T1	56647	0.647547419271334	0.77513889624207	0.960936969303008	23.336569579288	0.615098116508068	pass	ALKBH5_SRR500479
CAPRIN1	SRR500484	1176	T1	77786	0.708453338085316	0.676134816888474	0.975453215875494	6.78895877009085	1.33288824462175	pass	CAPRIN1_SRR500484
CAPRIN1	SRR500485	4394	T1	733138	0.81247900381571	0.763098591576589	0.905195341854657	5.99670683856502	0.812444072131273	pass	CAPRIN1_SRR500485
CPSF1	SRR488736	6394	T1	5563306	0.653373362964041	0.528014761039629	0.769133338447836	9.07091953959044	0.693759641139895	pass	CPSF1_SRR488736
CPSF3	SRR488733	1013	T1	258603	0.662497761027554	0.600024376302738	0.88130398770439	11.2479674796748	0.636729176464678	pass	CPSF3_SRR488733
CPSF4	SRR488731	1225	T1	229341	0.469488851453365	0.523674952748328	0.888660275584534	13.3253939171858	0.410666677231348	pass	CPSF4_SRR488731
CPSF6	SRR488728	6073	T1	3885560	0.751932924119584	0.360847368497959	0.524217303156462	9.8086673013252	0.627349067073401	pass	CPSF6_SRR488728
CPSF6	SRR488729	6465	T1	6732548	0.828742423638489	0.238683652227427	0.368931598294286	12.1370594887838	0.722870093944733	pass	CPSF6_SRR488729
CPSF7	SRR488727	6592	T1	16227990	0.762962388981132	0.0772359878198441	0.13117642581628	14.1274337218173	0.674074424777185	pass	CPSF7_SRR488727
CSTF2	SRR488740	5873	T1	4189524	0.794353625887467	0.554675262497658	0.74497101124598	9.42152115083321	0.763072752792926	pass	CSTF2_SRR488740
CSTF2T	SRR488741	6587	T1	10996900	0.744156343351874	0.516507898121917	0.707768863082493	11.9229766892028	0.762268792447953	pass	CSTF2T_SRR488741
CSTF2T	SRR488742	3423	T1	1489637	0.859834244758475	0.319985954251935	0.474898380329668	7.27043243474907	0.74409512518463	pass	CSTF2T_SRR488742
DICER1	SRR1176638	194	T1	102589	0.643410186333979	0.483976769667309	0.757425582145883	40.1369548584545	0.503524779421601	pass	DICER1_SRR1176638
DICER1	SRR1176639	1019	T1	320211	0.800458631076536	0.86209620258448	0.972462359275053	30.7597472924188	1.05425038460043	pass	DICER1_SRR1176639
DICER1	SRR1176640	385	T1	142645	0.740604404597502	0.621625942091324	0.845911701726898	33.536231884058	0.698259744563525	pass	DICER1_SRR1176640
DICER1	SRR1176641	575	T1	200388	0.789044675818581	0.72915648269769	0.9184593926674	30.7877562028047	0.84912092321302	pass	DICER1_SRR1176641
DICER1	SRR1176642	45	T1	42890	0.668655485778232	0.809728711093274	0.978712459272117	31.1227064220184	0.865213843428871	pass	DICER1_SRR1176642
DICER1	SRR1176643	51	T1	48042	0.664502026526402	0.783638653273719	0.974504516127378	33.1479869423286	0.836738469747126	pass	DICER1_SRR1176643
DIS3	SRR1724210	138	T1	22906	0.532856228591072	0.670258039000288	0.929230251017411	6.89570552147239	0.700778384848282	pass	DIS3_SRR1724210
DND1	DND1_B	6461	T1	7960330	0.779338408911327	0.542390970585818	0.752324987961478	11.071698341528	0.771037769659139	pass	DND1_DND1_B
EIF3A	SRR1761288	2	T1	52460	0.280904854250968	0.525453867305828	0.743862953658148	14.952380952381	-0.564683909093939	pass	EIF3A_SRR1761288
EIF3A	SRR1761289	443	T1	150438	0.651847160706546	0.646529032849373	0.963324497037495	37.4349514563107	0.923465309136361	pass	EIF3A_SRR1761289
EIF3A	SRR1761290	128	T1	35655	0.404206202216034	0.493977859542581	0.932323469879639	37.7373737373737	0.301343238698186	pass	EIF3A_SRR1761290
EIF3B	SRR1761291	10	T1	149804	0.418726218260402	0.698878831383745	0.868277640437599	13.433734939759	-0.305778761070171	pass	EIF3B_SRR1761291
EIF3B	SRR1761293	63	T1	43910	0.223508642860602	0.485923943992891	0.941457399599015	61.6363636363636	-0.354470620832055	pass	EIF3B_SRR1761293
EIF3D	SRR1761294	9	T1	56591	0.500839302314378	0.626259280593958	0.810321637244987	6.96875	-0.111991728843287	pass	EIF3D_SRR1761294
EIF3D	SRR1761295	545	T1	129619	0.611555137489811	0.638631248485782	0.96888696357123	34.2438070404172	0.967305852640595	pass	EIF3D_SRR1761295
EIF3G	SRR1761298	441	T1	103185	0.564747743663168	0.623026333545427	0.959730809708984	41.8991674375578	0.76466737609904	pass	EIF3G_SRR1761298
EIF3G	SRR1761299	298	T1	78866	0.40596961280407	0.512624967312037	0.948383956066997	60.928870292887	0.28112846765992	pass	EIF3G_SRR1761299
ELAVL1	SRR189777	4105	T1	2013671	0.67703139595955	0.26392204103161	0.44760048391597	11.9732759223553	0.579052253662918	pass	ELAVL1_SRR189777
ELAVL1	SRR189778	4012	T1	1750987	0.69138340675355	0.243218315946781	0.414289786828798	11.2027908748869	0.589689261229442	pass	ELAVL1_SRR189778
ELAVL1	SRR189781	5598	T1	5333372	0.799253572513677	0.241120628194375	0.388702371947909	13.8550240300455	0.720386467923531	pass	ELAVL1_SRR189781
ELAVL1	SRR248532	4876	T1	2875398	0.777960642245602	0.33724136131343	0.511384147874161	8.69050487252328	0.704278979548557	pass	ELAVL1_SRR248532
ELAVL1	SRR989637	5187	T1	5873801	0.891543082034811	0.88084822347884	0.960889042843076	4.51138898930059	1.01775445593641	pass	ELAVL1_SRR989637
ELAVL2	ELAVL2	4765	T1	1457093	0.806712340683948	0.390081133719055	0.59899635343207	9.84117615399795	0.856910612839988	pass	ELAVL2_ELAVL2
ELAVL3	ELAVL3	4897	T1	2054650	0.82028615528607	0.378941120780919	0.580501117643156	9.11808895720732	0.849946783047086	pass	ELAVL3_ELAVL3
ELAVL4	ELAVL4	4563	T1	1503850	0.822662340946414	0.366848287652286	0.557839226189279	8.27172809053976	0.825709465446847	pass	ELAVL4_ELAVL4
EWSR1	SRR070460	2410	T1	647441	0.840450451706372	0.701525664993312	0.857735824996647	5.581570155902	0.76400871924166	pass	EWSR1_SRR070460
EWSR1	SRR070461	812	T1	204213	0.845682376434856	0.822090613247833	0.946853784877499	7.04028830160784	0.895277925969773	pass	EWSR1_SRR070461
FBL	SRR651725	1374	T1	496828	0.679584982562818	0.542193912915544	0.756519314846505	37.7202429149798	0.549230812295259	pass	FBL_SRR651725
FBL	SRR651726	2645	T1	910163	0.667276880035926	0.345304962219992	0.545133491317335	69.2008934269304	0.567544674441418	pass	FBL_SRR651726
FIP1L1	SRR488738	4377	T1	832392	0.590983967599613	0.606326066277997	0.920534470577948	6.57387187167842	0.777073809805208	pass	FIP1L1_SRR488738
FIP1L1	SRR488739	5708	T1	2389011	0.710082231480077	0.730349846233601	0.885521093818344	10.5984341037129	0.683547248738746	pass	FIP1L1_SRR488739
FMR1iso1	SRR527727	5700	T1_Mnase	3476823	0.778804729746262	0.0589239661905007	0.105506213517398	16.6114577881557	0.701833404020046	pass	FMR1iso1_SRR527727
FMR1iso7	SRR527728	4608	T1_Mnase	1314893	0.839894138293663	0.479451621862609	0.664660870582162	9.5965700965701	0.794111560516003	pass	FMR1iso7_SRR527728
FUS	SRR070448	799	T1	236982	0.831509251484133	0.827309093574887	0.969258717886804	6.41466888203181	1.13968056873036	pass	FUS_SRR070448
FUS	SRR070449	2047	T1	972236	0.747113824689609	0.285588610663208	0.435183954365535	6.42871747211896	0.499325926276068	pass	FUS_SRR070449
FUS	SRR070450	1549	T1	598256	0.771226586303878	0.282940745651885	0.429350761873471	6.30224632068164	0.570329420193147	pass	FUS_SRR070450
FXR1	SRR527731	1385	T1	171200	0.839528981881908	0.404467955052458	0.593201745953757	6.32685323648793	0.746242559004717	pass	FXR1_SRR527731
FXR2	SRR527732	3769	T1	625287	0.854702645145639	0.305701889329806	0.480930219702305	7.14858541192633	0.798237398400761	pass	FXR2_SRR527732
G35	SRR989634	597	T1	366416	0.608365512647643	0.803228189919638	0.947963925655987	47.7867148666968	0.502147768891749	pass	G35_SRR989634
G45	SRR989635	1031	T1	476350	0.534384646285936	0.729515122866756	0.909991769982032	51.2729037267081	0.403551642455547	pass	G45_SRR989635
HNRNPC	SRR1198834	6327	T1	21245716	0.85391028799868	0.126461650991561	0.210280383102438	11.5410476554757	0.808491669005222	pass	HNRNPC_SRR1198834
HNRNPC	SRR1198835	6370	T1	21845009	0.866430005653152	0.162435540451329	0.264411196442613	11.8322771349806	0.834370490835069	pass	HNRNPC_SRR1198835
HNRNPD	SRR1042842	1719	T1	870518	0.782017819515781	0.612897265067812	0.778559696613158	4.88033196501874	0.669207994751528	pass	HNRNPD_SRR1042842
IGF2BP1	SRR048950	3585	T1	498990	0.827266947094229	0.252222269804775	0.406132699666591	7.30562598506133	0.723906354165513	pass	IGF2BP1_SRR048950
IGF2BP1	SRR048951	4412	T1	571507	0.758317265707047	0.304141936971927	0.468518106994655	8.31477975514325	0.675956114521985	pass	IGF2BP1_SRR048951
IGF2BP1	SRR048952	3132	T1	371516	0.607720326164034	0.581362408249331	0.779416167328191	10.4074710996465	0.568903395259719	pass	IGF2BP1_SRR048952
IGF2BP1	SRR048955	1059	T1	77843	0.850022824638075	0.416158594967281	0.595401759604847	5.29969879518072	0.752743024182349	pass	IGF2BP1_SRR048955
IGF2BP2	SRR048957	4741	T1	891603	0.842894676280578	0.33578803485594	0.518104209221534	8.16622536860002	0.771112078033415	pass	IGF2BP2_SRR048957
IGF2BP2	SRR048958	4781	T1	755493	0.749206193949552	0.367329512415411	0.554977865533425	9.04815414211121	0.669223295547217	pass	IGF2BP2_SRR048958
IGF2BP2	SRR048959	2087	T1	247511	0.537822937758974	0.439470372608282	0.664063836901213	12.8615881996363	0.442716089757315	pass	IGF2BP2_SRR048959
IGF2BP3	SRR048962	4508	T1	807494	0.856408296884026	0.265191732068002	0.422709303119028	8.57224982948456	0.778487612641661	pass	IGF2BP3_SRR048962
IGF2BP3	SRR048963	5267	T1	984629	0.74548850215427	0.488071386007661	0.686208787025257	8.9044882914137	0.733896356729	pass	IGF2BP3_SRR048963
IGF2BP3	SRR048964	4555	T1	602130	0.508781933427248	0.381111595595059	0.599872296065456	10.7143019296254	0.473845136833381	pass	IGF2BP3_SRR048964
L1RE1	SRR653235	3869	T1	2281319	0.640028783741338	0.665244963523206	0.872483267300751	6.28090192146129	0.391924894256648	pass	L1RE1_SRR653235
L1RE1	SRR653236	3688	T1	2025674	0.61264851703652	0.576534088618806	0.82024139414074	6.58274345405814	0.341139565472358	pass	L1RE1_SRR653236
